Pfam_ID	Description
PF06367	Diaphanous FH3 Domain
PF06371	Diaphanous GTPase-binding Domain
PF06375	AP-3 complex subunit delta-1
PF06398	Integral peroxisomal membrane peroxin
PF06409	Nuclear pore complex interacting protein (NPIP)
PF06413	Neugrin
PF06414	Zeta toxin
PF06415	BPG-independent PGAM N-terminus (iPGM_N)
PF06417	Protein of unknown function (DUF1077)
PF06418	CTP synthase N-terminus
PF06421	GTP-binding protein LepA C-terminus
PF06429	Flagellar basal body rod FlgEFG protein C-terminal
PF06445	GyrI-like small molecule binding domain
PF06456	Arfaptin-like domain
PF06459	Ryanodine Receptor TM 4-6
PF06461	Domain of Unknown Function (DUF1086)
PF06464	DMAP1-binding Domain
PF06465	Domain of Unknown Function (DUF1087)
PF06467	MYM-type Zinc finger with FCS sequence motif
PF06469	Domain of Unknown Function (DUF1088)
PF06470	SMC proteins Flexible Hinge Domain
PF06480	FtsH Extracellular
PF06482	Collagenase NC10 and Endostatin
PF06487	Sin3 associated polypeptide p18 (SAP18)
PF06491	Disulphide isomerase
PF06508	Queuosine biosynthesis protein QueC
PF06512	Sodium ion transport-associated
PF06524	NOA36 protein
PF06546	Vertebrate heat shock transcription factor
PF06551	Protein of unknown function (DUF1120)
PF06553	BNIP3
PF06564	Cellulose biosynthesis protein BcsQ
PF06574	FAD synthetase
PF06578	YOP proteins translocation protein K (YscK)
PF06583	Neogenin C-terminus
PF06602	Myotubularin-like phosphatase domain
PF06609	Fungal trichothecene efflux pump (TRI12)
PF06623	MHC_I C-terminus
PF06625	Protein of unknown function (DUF1151)
PF06628	Catalase-related immune-responsive
PF06635	Nodulation protein NolV
PF06637	PV-1 protein (PLVAP)
PF06650	SHR-binding domain of vacuolar-sorting associated protein 13
PF06657	Centrosome microtubule-binding domain of Cep57
PF06664	Wnt-binding factor required for Wnt secretion
PF06679	Protein of unknown function (DUF1180)
PF06682	SOCE-associated regulatory factor of calcium homoeostasis
PF06693	Protein of unknown function (DUF1190)
PF06701	Mib_herc2
PF06719	AraC-type transcriptional regulator N-terminus
PF06723	MreB/Mbl protein
PF06725	3D domain
PF06729	Kinetochore component, CENP-R
PF06733	DEAD_2
PF06741	LsmAD domain
PF06743	FAST kinase-like protein, subdomain 1
PF06744	Type VI secretion protein IcmF C-terminal
PF06745	KaiC
PF06747	CHCH domain
PF06750	Bacterial Peptidase A24 N-terminal domain
PF06758	Olduvai domain
PF06761	Intracellular multiplication and human macrophage-killing
PF06775	Putative adipose-regulatory protein (Seipin)
PF06778	Chlorite dismutase
PF06779	Uncharacterised MFS-type transporter YbfB
PF06798	PrkA serine protein kinase C-terminal domain
PF06800	Sugar transport protein
PF06803	Protein of unknown function (DUF1232)
PF06804	NlpB/DapX lipoprotein
PF06809	Neural proliferation differentiation control-1 protein (NPDC1)
PF06812	ImpA, N-terminal, type VI secretion system
PF06814	Lung seven transmembrane receptor
PF06816	NOTCH protein
PF06817	Reverse transcriptase thumb domain
PF06826	Predicted Permease Membrane Region
PF06827	Zinc finger found in FPG and IleRS
PF06832	Penicillin-Binding Protein C-terminus Family
PF06835	Lipopolysaccharide-assembly, LptC-related
PF06838	Methionine gamma-lyase
PF06877	Regulator of ribonuclease activity B
PF06881	RNA polymerase II transcription factor SIII (Elongin) subunit A
PF06888	Putative Phosphatase
PF06890	Bacteriophage Mu Gp45 protein
PF06899	WzyE protein, O-antigen assembly polymerase
PF06908	YspA SLOG family
PF06911	Senescence-associated protein
PF06916	Protein of unknown function (DUF1279)
PF06917	Periplasmic pectate lyase
PF06920	Dock homology region 2
PF06949	Protein of unknown function (DUF1292)
PF06957	Coatomer (COPI) alpha subunit C-terminus
PF06963	Ferroportin1 (FPN1)
PF06965	Na+/H+ antiporter 1
PF06968	Biotin and Thiamin Synthesis associated domain
PF06969	HemN C-terminal domain
PF06996	Type VI secretion, TssG
PF07001	BAT2 N-terminus
PF07002	Copine
PF07019	Rab5-interacting protein (Rab5ip)
PF07021	Methionine biosynthesis protein MetW
PF07023	Protein of unknown function (DUF1315)
PF07034	Origin recognition complex (ORC) subunit 3 N-terminus
PF07035	Colon cancer-associated protein Mic1-like
PF07055	Enoyl reductase FAD binding domain
PF07064	RIC1
PF07065	D123
PF07085	DRTGG domain
PF07092	Protein of unknown function (DUF1356)
PF07093	SGT1 protein
PF07095	Intracellular growth attenuator protein IgaA
PF07114	Transmembrane protein 126
PF07140	Interferon gamma receptor (IFNGR1)
PF07145	Ataxin-2 C-terminal region
PF07156	Prenylcysteine lyase
PF07157	DNA circularisation protein N-terminus
PF07159	Protein of unknown function (DUF1394)
PF07163	Pex26 protein
PF07195	Flagellar hook-associated protein 2 C-terminus
PF07196	Flagellin hook IN motif
PF07200	Modifier of rudimentary (Mod(r)) protein
PF07202	T-complex protein 10 C-terminus
PF07209	Protein of unknown function (DUF1415)
PF07213	DAP10 membrane protein
PF07219	HemY protein N-terminus
PF07221	N-acylglucosamine 2-epimerase (GlcNAc 2-epimerase)
PF07228	Stage II sporulation protein E (SpoIIE)
PF07244	Surface antigen variable number repeat
PF07258	COMM domain
PF07261	Replication initiation and membrane attachment
PF07274	Protein of unknown function (DUF1440)
PF07275	Antirestriction protein (ArdA)
PF07285	Protein of unknown function (DUF1444)
PF07286	Protein of unknown function (DUF1445)
PF07292	Nmi/IFP 35 domain (NID)
PF07293	Protein of unknown function (DUF1450)
PF07295	Zinc-ribbon containing domain
PF07303	Occludin homology domain
PF07321	Type III secretion protein YscO
PF07334	Interferon-induced 35 kDa protein (IFP 35) N-terminus
PF07338	Protein of unknown function (DUF1471)
PF07348	Syd protein (SUKH-2)
PF07350	Protein of unknown function (DUF1479)
PF07392	Cyclin-dependent kinase inhibitor 2a p19Arf N-terminus
PF07426	Dynactin subunit p22
PF07429	4-alpha-L-fucosyltransferase glycosyl transferase group 56
PF07452	CHRD domain
PF07469	Domain of unknown function (DUF1518)
PF07470	Glycosyl Hydrolase Family 88
PF07474	G2F domain
PF07478	D-ala D-ala ligase C-terminus
PF07479	NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus
PF07495	Y_Y_Y domain
PF07496	CW-type Zinc Finger
PF07497	Rho termination factor, RNA-binding domain
PF07498	Rho termination factor, N-terminal domain
PF07500	Transcription factor S-II (TFIIS), central domain
PF07502	MANEC domain
PF07503	HypF finger
PF07504	Fungalysin/Thermolysin Propeptide Motif
PF07510	Protein of unknown function (DUF1524)
PF07516	SecA Wing and Scaffold domain
PF07517	SecA DEAD-like domain
PF07520	Virulence factor SrfB
PF07521	Zn-dependent metallo-hydrolase RNA specificity domain
PF07524	Bromodomain associated
PF07525	SOCS box
PF07527	Hairy Orange
PF07528	DZF domain
PF07529	HSA
PF07531	NHR1 homology to TAF
PF07533	BRK domain
PF07534	TLD
PF07539	Down-regulated in metastasis
PF07546	EMI domain
PF07549	SecD/SecF GG Motif
PF07555	beta-N-acetylglucosaminidase
PF07559	Flagellar basal body protein FlaE
PF07565	Band 3 cytoplasmic domain
PF07571	TAF6 C-terminal HEAT repeat domain
PF07609	Protein of unknown function (DUF1572)
PF07645	Calcium-binding EGF domain
PF07646	Kelch motif
PF07647	SAM domain (Sterile alpha motif)
PF07648	Kazal-type serine protease inhibitor domain
PF07650	KH domain
PF07651	ANTH domain
PF07653	Variant SH3 domain
PF07654	Immunoglobulin C1-set domain
PF07657	N terminus of Notch ligand
PF07661	MORN repeat variant
PF07662	Na+ dependent nucleoside transporter C-terminus
PF07664	Ferrous iron transport protein B C terminus
PF07670	Nucleoside recognition
PF07676	WD40-like Beta Propeller Repeat
PF07677	A-macroglobulin receptor binding domain
PF07678	A-macroglobulin TED domain
PF07679	Immunoglobulin I-set domain
PF07681	DoxX
PF07683	Cobalamin synthesis protein cobW C-terminal domain
PF07684	NOTCH protein
PF07686	Immunoglobulin V-set domain
PF07687	Peptidase dimerisation domain
PF07690	Major Facilitator Superfamily
PF07691	PA14 domain
PF07693	KAP family P-loop domain
PF07697	7TM-HD extracellular
PF07698	7TM receptor with intracellular HD hydrolase
PF07699	Putative ephrin-receptor like
PF07702	UTRA domain
PF07703	Alpha-2-macroglobulin bait region domain
PF07705	CARDB
PF07707	BTB And C-terminal Kelch
PF07710	P53 tetramerisation motif
PF07714	Protein tyrosine kinase
PF07715	TonB-dependent Receptor Plug Domain
PF07716	Basic region leucine zipper
PF07717	Oligonucleotide/oligosaccharide-binding (OB)-fold
PF07718	Coatomer beta C-terminal region
PF07719	Tetratricopeptide repeat
PF07720	Tetratricopeptide repeat
PF07721	Tetratricopeptide repeat
PF07722	Peptidase C26
PF07724	AAA domain (Cdc48 subfamily)
PF07726	ATPase family associated with various cellular activities (AAA)
PF07728	AAA domain (dynein-related subfamily)
PF07729	FCD domain
PF07730	Histidine kinase
PF07731	Multicopper oxidase
PF07732	Multicopper oxidase
PF07733	Bacterial DNA polymerase III alpha NTPase domain
PF07737	Anthrax toxin lethal factor, N- and C-terminal domain
PF07738	Sad1 / UNC-like C-terminal
PF07744	SPOC domain
PF07745	Glycosyl hydrolase family 53
PF07748	Glycosyl hydrolases family 38 C-terminal domain
PF07749	Endoplasmic reticulum protein ERp29, C-terminal domain
PF07755	Domain of unknown function (DUF1611_C) P-loop domain
PF07763	FEZ-like protein
PF07767	Nop53 (60S ribosomal biogenesis)
PF07786	Protein of unknown function (DUF1624)
PF07798	Protein of unknown function (DUF1640)
PF07804	HipA-like C-terminal domain
PF07807	RED-like protein C-terminal region
PF07808	RED-like protein N-terminal region
PF07809	RTP801 C-terminal region
PF07810	TMC domain
PF07814	Wings apart-like protein regulation of heterochromatin
PF07815	Abl-interactor HHR
PF07818	HCNGP-like protein
PF07830	Protein serine/threonine phosphatase 2C, C-terminal domain
PF07831	Pyrimidine nucleoside phosphorylase C-terminal domain
PF07840	FadR C-terminal domain
PF07842	GC-rich sequence DNA-binding factor-like protein
PF07850	Renin receptor-like protein
PF07851	TMPIT-like protein
PF07856	Mediator of CRAC channel activity
PF07857	Transmembrane family, TMEM144 of transporters
PF07859	alpha/beta hydrolase fold
PF07870	Protein of unknown function (DUF1657)
PF07883	Cupin domain
PF07888	Calcium binding and coiled-coil domain (CALCOCO1) like
PF07889	Protein of unknown function (DUF1664)
PF07906	ShET2 enterotoxin, N-terminal region
PF07912	ERp29, N-terminal domain
PF07915	Glucosidase II beta subunit-like protein
PF07931	Chloramphenicol phosphotransferase-like protein
PF07940	Heparinase II/III-like protein
PF07943	Penicillin-binding protein 5, C-terminal domain
PF07962	Replication Fork Protection Component Swi3
PF07963	Prokaryotic N-terminal methylation motif
PF07965	Integrin beta tail domain
PF07966	A1 Propeptide
PF07969	Amidohydrolase family
PF07973	Threonyl and Alanyl tRNA synthetase second additional domain
PF07974	EGF-like domain
PF07975	TFIIH C1-like domain
PF07977	FabA-like domain
PF07978	NIPSNAP
PF07989	Centrosomin N-terminal motif 1
PF07991	Acetohydroxy acid isomeroreductase, NADPH-binding domain
PF07992	Pyridine nucleotide-disulphide oxidoreductase
PF07993	Male sterility protein
PF07994	Myo-inositol-1-phosphate synthase
PF08003	Protein of unknown function (DUF1698)
PF08005	PHR domain
PF08007	Cupin superfamily protein
PF08013	Tagatose 6 phosphate kinase
PF08016	Polycystin cation channel
PF08019	Phosphoethanolamine transferase EptA/EptB
PF08028	Acyl-CoA dehydrogenase, C-terminal domain
PF08030	Ferric reductase NAD binding domain
PF08031	Berberine and berberine like
PF08032	RNA 2'-O ribose methyltransferase substrate binding
PF08033	Sec23/Sec24 beta-sandwich domain
PF08059	SEP domain
PF08061	P68HR (NUC004) repeat
PF08063	PADR1 (NUC008) domain
PF08064	UME (NUC010) domain
PF08065	KI67R (NUC007) repeat
PF08066	PMC2NT (NUC016) domain
PF08073	CHDNT (NUC034) domain
PF08074	CHDCT2 (NUC038) domain
PF08075	NOPS (NUC059) domain
PF08080	RNPHF zinc finger
PF08082	PRO8NT (NUC069), PrP8 N-terminal domain
PF08083	PROCN (NUC071) domain
PF08084	PROCT (NUC072) domain
PF08125	Mannitol dehydrogenase C-terminal domain
PF08127	Peptidase family C1 propeptide
PF08142	AARP2CN (NUC121) domain
PF08146	BP28CT (NUC211) domain
PF08148	DSHCT (NUC185) domain
PF08150	FerB (NUC096) domain
PF08151	FerI (NUC094) domain
PF08152	GUCT (NUC152) domain
PF08157	NUC129 domain
PF08158	NUC130/3NT domain
PF08164	Apoptosis-antagonizing transcription factor, C-terminal
PF08165	FerA (NUC095) domain
PF08167	rRNA processing/ribosome biogenesis
PF08169	RBB1NT (NUC162) domain
PF08190	PIH1 N-terminal domain
PF08198	Thymopoietin protein
PF08204	CD47 immunoglobulin-like domain
PF08205	CD80-like C2-set immunoglobulin domain
PF08206	Ribonuclease B OB domain
PF08207	Elongation factor P (EF-P) KOW-like domain
PF08210	APOBEC-like N-terminal domain
PF08211	Cytidine and deoxycytidylate deaminase zinc-binding region
PF08213	Mitochondrial domain of unknown function (DUF1713)
PF08214	Histone acetylation protein
PF08217	Fungal domain of unknown function (DUF1712)
PF08220	DeoR-like helix-turn-helix domain
PF08232	Striatin family
PF08235	LNS2 (Lipin/Ned1/Smp2)
PF08236	SRI (Set2 Rpb1 interacting) domain
PF08238	Sel1 repeat
PF08239	Bacterial SH3 domain
PF08240	Alcohol dehydrogenase GroES-like domain
PF08241	Methyltransferase domain
PF08242	Methyltransferase domain
PF08244	Glycosyl hydrolases family 32 C terminal
PF08245	Mur ligase middle domain
PF08246	Cathepsin propeptide inhibitor domain (I29)
PF08264	Anticodon-binding domain of tRNA
PF08266	Cadherin-like
PF08267	Cobalamin-independent synthase, N-terminal domain
PF08271	TFIIB zinc-binding
PF08272	Topoisomerase I zinc-ribbon-like
PF08275	DNA primase catalytic core, N-terminal domain
PF08278	DNA primase DnaG DnaB-binding
PF08279	HTH domain
PF08280	M protein trans-acting positive regulator (MGA) HTH domain
PF08281	Sigma-70, region 4
PF08282	haloacid dehalogenase-like hydrolase
PF08284	Retroviral aspartyl protease
PF08298	PrkA AAA domain
PF08299	Bacterial dnaA protein helix-turn-helix
PF08312	cwf21 domain
PF08314	Secretory pathway protein Sec39
PF08317	Spc7 kinetochore protein
PF08318	COG4 transport protein
PF08321	PPP5 TPR repeat region
PF08323	Starch synthase catalytic domain
PF08334	Type II secretion system (T2SS), protein G
PF08335	GlnD PII-uridylyltransferase
PF08337	Plexin cytoplasmic RasGAP domain
PF08344	Transient receptor ion channel II
PF08345	Flagellar M-ring protein C-terminal
PF08347	N-terminal CTNNB1 binding
PF08349	Protein of unknown function (DUF1722)
PF08352	Oligopeptide/dipeptide transporter, C-terminal region
PF08355	EF hand associated
PF08356	EF hand associated
PF08357	SEFIR domain
PF08364	Bacterial translation initiation factor IF-2 associated region
PF08368	FAST kinase-like protein, subdomain 2
PF08373	RAP domain
PF08375	Proteasome regulatory subunit C-terminal
PF08383	Maf N-terminal region
PF08385	Dynein heavy chain, N-terminal region 1
PF08389	Exportin 1-like protein
PF08390	TRAM1-like protein
PF08391	Ly49-like protein, N-terminal region
PF08393	Dynein heavy chain, N-terminal region 2
PF08397	IRSp53/MIM homology domain
PF08402	TOBE domain
PF08403	Amino acid permease N-terminal
PF08409	Domain of unknown function (DUF1736)
PF08411	Exonuclease C-terminal
PF08416	Phosphotyrosine-binding domain
PF08423	Rad51
PF08424	NRDE-2, necessary for RNA interference
PF08429	PLU-1-like protein
PF08439	Oligopeptidase F
PF08441	Integrin alpha
PF08442	ATP-grasp domain
PF08443	RimK-like ATP-grasp domain
PF08445	FR47-like protein
PF08447	PAS fold
PF08448	PAS fold
PF08449	UAA transporter family
PF08450	SMP-30/Gluconolactonase/LRE-like region
PF08453	Peptidase family M9 N-terminal
PF08454	RyR and IP3R Homology associated
PF08455	Bacterial SNF2 helicase associated
PF08459	UvrC Helix-hairpin-helix N-terminal
PF08461	Ribonuclease R winged-helix domain
PF08477	Ras of Complex, Roc, domain of DAPkinase
PF08478	POTRA domain, FtsQ-type
PF08479	POTRA domain, ShlB-type
PF08486	Stage II sporulation protein
PF08487	Vault protein inter-alpha-trypsin domain
PF08491	Squalene epoxidase
PF08501	Shikimate dehydrogenase substrate binding domain
PF08504	Runx inhibition domain
PF08506	Cse1
PF08512	Histone chaperone Rttp106-like
PF08513	LisH
PF08514	STAG domain
PF08515	Transforming growth factor beta type I GS-motif
PF08516	ADAM cysteine-rich
PF08517	Ataxin-1 and HBP1 module (AXH)
PF08518	Spa2 homology domain (SHD) of GIT
PF08523	Multiprotein bridging factor 1
PF08524	rRNA processing
PF08529	NusA N-terminal domain
PF08530	X-Pro dipeptidyl-peptidase C-terminal non-catalytic domain
PF08532	Beta-galactosidase trimerisation domain
PF08533	Beta-galactosidase C-terminal domain
PF08534	Redoxin
PF08540	Hydroxymethylglutaryl-coenzyme A synthase C terminal
PF08543	Phosphomethylpyrimidine kinase
PF08544	GHMP kinases C terminal
PF08545	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
PF08546	Ketopantoate reductase PanE/ApbA C terminal
PF08548	Peptidase M10 serralysin C terminal
PF08563	P53 transactivation motif
PF08564	Cdc37 C terminal domain
PF08565	Cdc37 Hsp90 binding domain
PF08569	Mo25-like
PF08590	Domain of unknown function (DUF1771)
PF08603	Adenylate cyclase associated (CAP) C terminal
PF08604	Nucleoporin Nup153-like
PF08608	Wyosine base formation
PF08614	Autophagy protein 16 (ATG16)
PF08616	Stabilization of polarity axis
PF08628	Sorting nexin C terminal
PF08638	Mediator complex subunit MED14
PF08640	U3 small nucleolar RNA-associated protein 6
PF08644	FACT complex subunit (SPT16/CDC68)
PF08645	Polynucleotide kinase 3 phosphatase
PF08646	Replication factor-A C terminal domain
PF08652	RAI1 like PD-(D/E)XK nuclease
PF08659	KR domain
PF08662	Eukaryotic translation initiation factor eIF2A
PF08666	SAF domain
PF08669	Glycine cleavage T-protein C-terminal barrel domain
PF08675	RNA binding domain
PF08676	MutL C terminal dimerisation domain
PF08683	Microtubule-binding calmodulin-regulated spectrin-associated
PF08686	PLAC (protease and lacunin) domain
PF08687	Apx/Shroom domain ASD2
PF08688	Apx/Shroom domain ASD1
PF08693	Transmembrane alpha-helix domain
PF08700	Vps51/Vps67
PF08706	D5 N terminal like
PF08708	Primase C terminal 1 (PriCT-1)
PF08709	Inositol 1,4,5-trisphosphate/ryanodine receptor
PF08711	TFIIS helical bundle-like domain
PF08712	Scaffold protein Nfu/NifU N terminal
PF08718	Glycolipid transfer protein (GLTP)
PF08725	Integrin beta cytoplasmic domain
PF08736	FERM adjacent (FA)
PF08737	Rgp1
PF08742	C8 domain
PF08752	Coatomer gamma subunit appendage platform subdomain
PF08755	Hemimethylated DNA-binding protein YccV like
PF08756	YfkB-like domain
PF08758	Cadherin prodomain like
PF08763	Voltage gated calcium channel IQ domain
PF08766	DEK C terminal domain
PF08767	CRM1 C terminal
PF08771	FKBP12-rapamycin binding domain
PF08772	Nin one binding (NOB1) Zn-ribbon like
PF08773	Cathepsin C exclusion domain
PF08776	VASP tetramerisation domain
PF08777	RNA binding motif
PF08778	HIF-1 alpha C terminal transactivation domain
PF08782	c-SKI Smad4 binding domain
PF08783	DWNN domain
PF08784	Replication protein A C terminal
PF08785	Ku C terminal domain like
PF08786	DcrB
PF08788	NHR2 domain like
PF08790	LYAR-type C2HC zinc finger
PF08799	pre-mRNA processing factor 4 (PRP4) like
PF08801	Nup133 N terminal like
PF08806	Sep15/SelM redox domain
PF08812	YtxC-like family
PF08813	Phage tail tube protein, TTP
PF08815	Nuclear receptor coactivator
PF08824	Serine rich protein interaction domain
PF08826	DMPK coiled coil domain like
PF08831	Class II MHC-associated invariant chain trimerisation domain
PF08832	Steroid receptor coactivator
PF08833	Axin beta-catenin binding domain
PF08840	BAAT / Acyl-CoA thioester hydrolase C terminal
PF08863	YolD-like protein
PF08874	Domain of unknown function (DUF1835)
PF08892	YqcI/YcgG family
PF08895	Domain of unknown function (DUF1840)
PF08914	Rap1 Myb domain
PF08917	Transforming growth factor beta receptor 2 ectodomain
PF08920	Splicing factor 3B subunit 1
PF08934	Rb C-terminal domain
PF08938	HBS1 N-terminus
PF08941	USP8 interacting
PF08950	Protein of unknown function (DUF1861)
PF08952	Domain of unknown function (DUF1866)
PF08953	Domain of unknown function (DUF1899)
PF08954	Trimerisation motif
PF08976	EF-hand domain
PF09005	Domain of unknown function (DUF1897)
PF09007	EBP50, C-terminal
PF09011	HMG-box domain
PF09025	YopR, type III needle-polymerisation regulator
PF09030	Creb binding
PF09033	DNA Fragmentation factor 45kDa, C terminal domain
PF09045	L27_2
PF09057	Second Mitochondria-derived Activator of Caspases
PF09064	Thrombomodulin like fifth domain, EGF-like
PF09066	Beta2-adaptin appendage, C-terminal sub-domain
PF09067	Erythropoietin receptor, ligand binding
PF09068	EF hand
PF09069	EF-hand
PF09073	BUD22
PF09078	CheY binding
PF09084	NMT1/THI5 like
PF09110	HAND
PF09111	SLIDE
PF09127	Leukotriene A4 hydrolase, C-terminal
PF09128	Regulator of G protein signalling-like domain
PF09134	Invasin, domain 3
PF09138	Urm1 (Ubiquitin related modifier)
PF09140	ATPase MipZ
PF09154	Domain of unknown function (DUF1939)
PF09156	Anthrax toxin lethal factor, middle domain
PF09162	Tap, RNA-binding
PF09163	Formate dehydrogenase N, transmembrane
PF09173	Initiation factor eIF2 gamma, C terminal
PF09179	TilS substrate binding domain
PF09180	Prolyl-tRNA synthetase, C-terminal
PF09190	DALR domain
PF09191	CD4, extracellular
PF09237	GAGA factor
PF09238	Interleukin-4 receptor alpha chain, N-terminal
PF09240	Interleukin-6 receptor alpha chain, binding
PF09247	TATA box-binding protein binding
PF09258	Glycosyl transferase family 64 domain
PF09261	Alpha mannosidase middle domain
PF09268	Clathrin, heavy-chain linker
PF09270	Beta-trefoil DNA-binding domain
PF09271	LAG1, DNA binding
PF09280	XPC-binding domain
PF09282	Mago binding
PF09285	Elongation factor P, C-terminal
PF09286	Pro-kumamolisin, activation domain
PF09289	Follistatin/Osteonectin-like EGF domain
PF09291	Domain of unknown function (DUF1968)
PF09294	Interferon-alpha/beta receptor, fibronectin type III
PF09295	ChAPs (Chs5p-Arf1p-binding proteins)
PF09305	TACI, cysteine-rich domain
PF09307	CLIP, MHC2 interacting
PF09309	FCP1, C-terminal
PF09311	Rabaptin-like protein
PF09312	SurA N-terminal domain
PF09317	Domain of unknown function (DUF1974)
PF09323	Domain of unknown function (DUF1980)
PF09324	Domain of unknown function (DUF1981)
PF09325	Vps5 C terminal like
PF09327	Domain of unknown function (DUF1983)
PF09330	D-lactate dehydrogenase, membrane binding
PF09333	Autophagy-related protein C terminal domain
PF09334	tRNA synthetases class I (M)
PF09335	SNARE associated Golgi protein
PF09336	Vps4 C terminal oligomerisation domain
PF09342	Domain of unknown function (DUF1986)
PF09346	SMI1 / KNR4 family (SUKH-1)
PF09360	Iron-binding zinc finger CDGSH type
PF09368	Sas10 C-terminal domain
PF09370	Phosphoenolpyruvate hydrolase-like
PF09371	Tex-like protein N-terminal domain
PF09377	SBDS protein C-terminal domain
PF09379	FERM N-terminal domain
PF09380	FERM C-terminal PH-like domain
PF09382	RQC domain
PF09383	NIL domain
PF09387	Mitochondrial RNA binding protein MRP
PF09397	Ftsk gamma domain
PF09398	FOP N terminal dimerisation domain
PF09402	Man1-Src1p-C-terminal domain
PF09409	PUB domain
PF09416	RNA helicase (UPF2 interacting domain)
PF09429	WW domain binding protein 11
PF09439	Signal recognition particle receptor beta subunit
PF09445	RNA cap guanine-N2 methyltransferase
PF09451	Autophagy-related protein 27
PF09454	Vps23 core domain
PF09456	RcsC Alpha-Beta-Loop (ABL)
PF09457	FIP domain
PF09469	Cordon-bleu ubiquitin-like domain
PF09495	Protein of unknown function (DUF2462)
PF09497	Transcription mediator complex subunit Med12
PF09524	Conserved phage C-terminus (Phg_2220_C)
PF09527	Putative F0F1-ATPase subunit Ca2+/Mg2+ transporter
PF09532	FDF domain
PF09546	Stage III sporulation protein AE (spore_III_AE)
PF09547	Stage IV sporulation protein A (spore_IV_A)
PF09596	MamL-1 domain
PF09611	CRISPR-associated protein (Cas_Csy1)
PF09614	CRISPR-associated protein (Cas_Csy2)
PF09621	Type III secretion system regulator (LcrR)
PF09632	Rac1-binding domain
PF09723	Zinc ribbon domain
PF09726	Macoilin family
PF09727	Cortactin-binding protein-2
PF09728	Myosin-like coiled-coil protein
PF09730	Microtubule-associated protein Bicaudal-D
PF09732	Cactus-binding C-terminus of cactin protein
PF09735	Membrane-associated apoptosis protein
PF09738	LRRFIP family
PF09742	Dyggve-Melchior-Clausen syndrome protein
PF09743	E3 UFM1-protein ligase 1
PF09744	JNK_SAPK-associated protein-1
PF09749	Uncharacterised conserved protein
PF09750	Alternative splicing regulator
PF09758	Uncharacterised conserved protein
PF09763	Exocyst complex component Sec3
PF09770	Topoisomerase II-associated protein PAT1
PF09788	Transmembrane protein 55A
PF09794	Transport protein Avl9
PF09797	N-acetyltransferase B complex (NatB) non catalytic subunit
PF09806	Cyclin-dependent kinase 2-associated protein
PF09816	RNA polymerase II transcription elongation factor
PF09818	Predicted ATPase of the ABC class
PF09821	C-terminal AAA-associated domain
PF09822	ABC-type uncharacterized transport system
PF09823	Domain of unknown function (DUF2357)
PF09848	Uncharacterized conserved protein (DUF2075)
PF09850	Type VI secretion system protein DotU
PF09868	Uncharacterized protein conserved in archaea (DUF2095)
PF09917	Uncharacterized protein conserved in bacteria (DUF2147)
PF09922	Cell wall-active antibiotics response 4TMS YvqF
PF09925	Predicted membrane protein (DUF2157)
PF09937	Uncharacterized protein conserved in bacteria (DUF2169)
PF09972	Predicted membrane protein (DUF2207)
PF09976	Tetratricopeptide repeat-like domain
PF09983	Uncharacterized protein conserved in bacteria C-term(DUF2220)
PF09984	Uncharacterised signal transduction histidine kinase domain (DUF2222)
PF09991	Predicted membrane protein (DUF2232)
PF10017	Histidine-specific methyltransferase, SAM-dependent
PF10018	Vitamin-D-receptor interacting Mediator subunit 4
PF10022	Uncharacterized protein conserved in bacteria (DUF2264)
PF10033	Autophagy-related protein 13
PF10034	Q-cell neuroblast polarisation
PF10035	Uncharacterized protein conserved in bacteria (DUF2179)
PF10036	RNA transcription, translation and transport factor protein
PF10077	Uncharacterized protein conserved in bacteria (DUF2314)
PF10094	Uncharacterized protein conserved in bacteria (DUF2332)
PF10101	Predicted membrane protein (DUF2339)
PF10106	Uncharacterized protein conserved in bacteria (DUF2345)
PF10111	Glycosyltransferase like family 2
PF10117	McrBC 5-methylcytosine restriction system component
PF10138	vWA found in TerF C terminus
PF10139	Putative bacterial virulence factor
PF10145	Phage-related minor tail protein
PF10150	Ribonuclease E/G family
PF10152	Subunit CCDC53 of WASH complex
PF10155	CCR4-NOT transcription complex subunit 11
PF10162	G8 domain
PF10164	Uncharacterized conserved protein (DUF2367)
PF10165	Guanine nucleotide exchange factor synembryn
PF10170	Cysteine-rich domain
PF10179	Uncharacterised conserved protein (DUF2369)
PF10180	Uncharacterised conserved protein (DUF2373)
PF10181	GPI-GlcNAc transferase complex, PIG-H component
PF10187	N-terminal domain of NEFA-interacting nuclear protein NIP30
PF10197	N-terminal domain of CBF1 interacting co-repressor CIR
PF10198	Histone acetyltransferases subunit 3
PF10218	Uncharacterized conserved protein (DUF2054)
PF10222	Uncharacterized conserved protein (DUF2152)
PF10224	Short coiled-coil protein
PF10225	NEMP family
PF10230	Lipid-droplet associated hydrolase
PF10235	Microtubule-associated protein CRIPT
PF10238	E2F-associated phosphoprotein
PF10241	Uncharacterized conserved protein
PF10242	Lipoma HMGIC fusion partner-like protein
PF10243	Microtubule-binding protein MIP-T3 CH-like domain
PF10248	Myelodysplasia-myeloid leukemia factor 1-interacting protein
PF10252	Casein kinase substrate phosphoprotein PP28
PF10257	Retinoic acid induced 16-like protein
